priority,practice_name,city,email,email_status,source_type,source_url,recommended_channel,stage,notes
3,Vision Dermatology,"Raleigh, NC",Info@visiondermatology.com,verified_public,official,https://www.visiondermatology.com/services-4,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Rewind Me Aesthetic Boutique,"Washington, DC",info@rewindmeaesthetics.com,verified_public,official,https://rewindmeaesthetics.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Aesthetic Art,"West Bloomfield, MI",info@aestheticartskincare.com,verified_public,official,https://www.aestheticartskincare.com/service-page/hair-restoration,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Center for Facial Rejuvenation,"Chattanooga, TN",info@chattanoogaface.com,verified_public,official,https://www.chattanoogaface.com/services/restorative-hair-therapy/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Boutique Wellness,"Winston-Salem, NC",info@bw-nc.com,verified_public,official,https://boutiquewellnessnc.com/hair-restoration/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Axios Health and Wellness,"Longmont, CO",info@axioshealthco.com,verified_public,official,https://axioshealthco.com/prp-hair-restoration/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,NuVida Medical and Aesthetics,"Highlands Ranch, CO",Info@nuvidameda.com,verified_public,official,https://nuvidameda.com/services/hair-restoration/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,BioFunctional Med,"Raleigh, NC",info@biofunctionalmed.com,verified_public,official,https://biofunctionalmed.com/g/hairrestoration/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,NOCO Healthcare,"Greeley, CO",info@nocohealthcare.com,verified_public,official,https://nocohealthcare.com/regenerative-hair-restoration-greeley/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,The Beauty Refynery,"Franklin, TN",info@thebeautyrefynery.com,verified_public,official,https://thebeautyrefynery.com/hair-restoration/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Broadway Plastic Surgery Group,"Lone Tree, CO",INFO@BROADWAYMD.COM,verified_public,official,https://broadwayplasticsurgery.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Michigan Hair Doc,"Shelby Township, MI",info@mihairdoc.com,verified_public,official,https://www.mihairdoc.com/local-drs-berry-tessler-aronovitz-hair-restoration-specialists-fue-artas-robotic-transplant-shelby-town-mi,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Biltmore Surgical Hair Restoration,"Phoenix, AZ",staff@drscottalexander.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=arizona,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Physician's Hair Institute,"Tucson, AZ",drkeene@hairrestore.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=arizona,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,Hair Restoration & Aesthetic Medicine Center,"Wethersfield, CT",drboden@hairtransplantct.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=connecticut,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,Dauer Hair Restoration,"New York, NY",docdauer@me.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=new-york,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,The Hair Loss Doctors,"Garden City, NY",drdorin@thehairlossdoctors.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=new-york,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,NYC Hair Restoration,"New York, NY",thomas.law2@verizon.net,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=new-york,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
1,Carlos Wesley Hair Restoration,"New York, NY",carloskw@aya.yale.edu,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=new-york,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,McGrath Medical,"Austin, TX",info@mcgrathmedical.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=texas,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Yaker Hair Restoration + Med Spa,"Plano, TX",yaker@yakermd.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=texas,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Chicago Hair Transplant Clinic,"Chicago, IL",vpanine@drpanine.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=illinois,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Nova Hair Center,"McLean, VA",drwlindsey@gmail.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=virginia,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,The Hair Center,"Charlotte, NC",JCooley@haircenter.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=north-carolina,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Alvi Armani,"Salt Lake City, UT",eric@alviarmani.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=utah,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Carolina Hair Surgery,"Mount Pleasant, SC",mvories@CarolinaHairSurgery.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=south-carolina,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Bauman Medical Group,"Boca Raton, FL",doctorb@baumanmedical.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=florida,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Miami Hair Institute - Dr Aron Nusbaum,"Miami, FL",draron@miamihair.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=florida,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Miami Hair Institute - Dr Bernard Nusbaum,"Miami, FL",drnusbaum@miamihair.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=florida,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Hair By Dr Max,"Fort Lauderdale, FL",Md.chumak@bringbackhair.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=florida,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Dermatology & Hair Restoration Specialists,"Los Angeles, CA",dermhair5@gmail.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=california,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,La Jolla Hair Restoration Medical Center,"La Jolla, CA",tcarmanmd@ljhr.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=california,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Varona Hair Restoration,"Newport Beach, CA",drvarona@VaronaHairRestoration.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=california,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Modena Hair Institute,"Newport Beach, CA",info@modenahair.com,verified_public,public_directory,https://www.americanhairloss.org/?surgeonlocation=california,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Rejuv Medical,"San Francisco, CA",info@rejuvsf.com,verified_public,official,https://www.rejuvsf.com/hair-restoration,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Concord Hair Restoration,"Encino, CA",info@ConcordHairRestoration.com,verified_public,official,https://www.concordhair.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Advanced Hair,"Del Mar, CA",Info@SanDiegoHairLossSpecialist.com,verified_public,official,https://www.sandiegohairlossspecialist.com/san-diego-hair-restoration,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Northwest Hair Restoration,"Tacoma, WA",info@northwesthair.com,verified_public,official,https://hairreplacementsurgeon.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Xplicit Hair Restoration,"San Diego, CA",info@xplicithairstudio.com,verified_public,official,https://www.xplicithairstudio.com/contactus,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,ClearForm Aesthetics,"Portland, OR",info@ClearFormAesthetics.com,verified_public,official,https://www.clearformaesthetics.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,ReGrow Medical,"Los Angeles, CA",info@regrowmedical.com,verified_public,official,https://hair.regrowmedical.com/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Agape Hair + Wellness,"Tempe, AZ",info@agapehair-wellness.com,verified_public,official,https://www.agapehair-wellness.com/about,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,California Hair and Skin Institute,"San Diego, CA",info@chsi.health,verified_public,official,https://www.californiahairandskininstitute.com/contact-us,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,National Hair Loss Medical Aesthetics,"Scottsdale, AZ",info@nhlma.com,verified_public,official,https://www.nhlma.com/hair-restoration-services,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Denver Hair Clinic,"Denver, CO",info@denverhairclinic.com,verified_public,official,https://denverhairclinic.com/services/hair-transplant-surgery/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Bevel Aesthetics,"Seattle, WA",info@bevelseattle.com,verified_public,official,https://www.bevelseattle.com/contact,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Regen LA,"Los Angeles, CA",rob@regen.la,verified_public,official_public,https://hairtransplantslosangeles.com/contact-us/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Regen LA General,"Los Angeles, CA",info@regen.la,verified_public,official_public,https://hairtransplantslosangeles.com/contact-us/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Best Hair Transplant LA,"Los Angeles, CA",info@hairtransplantslosangeles.com,verified_public,official,https://hairtransplantslosangeles.com/contact-us/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
2,Orlando Hair Clinic,"Orlando, FL",info@orlandohairclinic.com,verified_public,official,https://orlandohairclinic.com/contact-us/,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,SCENT Houston,"Houston, TX",info@scenthouston.com,verified_public,official,https://www.scenthouston.com/hair-translplant,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Glory Regenerative Center,"Tampa, FL",info@gloryregenerative.com,verified_public,official,https://gloryregenerative.com/locations/tampa-fl,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
3,Dallas Men's Health,"Dallas, TX",Info@DallasMensHealth.com,verified_public,official,https://www.dallasmenshealth.com/services/hair-restoration-treatments,email,identified,Public professional/business contact address; verify again immediately before sending if campaign is delayed.
